Category: Machine Learning & Artificial Intelligence

Week,PyTorch: (Worldwide),TensorFlow: (Worldwide),Theano: (Worldwide),Keras: (Worldwide),Caffe: (Worldwide)
2016-01-03,0,5,6,2,4
2016-01-10,0,4,7,3,5
2016-01-17,0,3,10,2,4
2016-01-24,0,10,6,2,1
2016-01-31,0,7,2,3,3
2016-02-07,0,4,4,4,4
2016-02-14,0,10,7,4,7
2016-02-21,0,9,7,1,2
2016-02-28,0,4,4,3,3
2016-03-06,0,8,7,4,5
2016-03-13,0,16,7,4,9
2016-03-20,0,13,3,3,5
2016-03-27,0,9,5,6,6
2016-04-03,0,12,4,1,7
2016-04-10,0,12,7,5,6
2016-04-17,0,14,6,10,6
2016-04-24,0,15,7,6,7
2016-05-01,0,16,5,3,7
2016-05-08,0,28,11,10,4
2016-05-15,0,13,6,5,0
2016-05-22,0,14,9,5,3
2016-05-29,0,15,5,1,3
2016-06-05,0,21,5,8,7
2016-06-12,0,24,4,8,6
2016-06-19,0,23,8,10,9
2016-06-26,0,11,9,8,9
2016-07-03,0,21,5,7,7
2016-07-10,0,18,2,5,3
2016-07-17,0,18,5,6,6
2016-07-24,0,13,4,6,5
2016-07-31,0,15,2,6,6
2016-08-07,0,18,7,5,5
2016-08-14,0,15,2,9,2
2016-08-21,0,22,2,6,8
2016-08-28,0,19,3,13,5
2016-09-04,0,19,7,6,7
2016-09-11,0,20,3,6,6
2016-09-18,0,22,7,8,5
2016-09-25,0,26,4,9,2
2016-10-02,0,24,7,7,4
2016-10-09,0,25,8,17,7
2016-10-16,0,29,3,12,6
2016-10-23,0,27,4,14,7
2016-10-30,0,26,9,16,3
2016-11-06,0,30,4,11,8
2016-11-13,0,36,6,16,6
2016-11-20,0,26,4,13,5
2016-11-27,0,41,6,16,4
2016-12-04,0,42,7,21,2
2016-12-11,0,38,6,17,4
2016-12-18,0,41,5,11,8
2016-12-25,0,35,5,8,2
2017-01-01,0,38,4,15,4
2017-01-08,0,32,6,20,8
2017-01-15,1,41,7,16,6
2017-01-22,1,49,4,22,3
2017-01-29,1,39,5,20,3
2017-02-05,1,49,3,21,5
2017-02-12,2,45,3,18,4
2017-02-19,2,55,7,28,10
2017-02-26,3,66,3,25,2
2017-03-05,1,67,3,29,7
2017-03-12,2,49,5,28,9
2017-03-19,5,65,4,25,3
2017-03-26,2,59,6,29,10
2017-04-02,3,69,5,28,7
2017-04-09,4,65,5,32,3
2017-04-16,3,63,6,28,10
2017-04-23,8,76,3,29,7
2017-04-30,3,64,8,35,3
2017-05-07,4,55,5,32,9
2017-05-14,0,68,6,26,6
2017-05-21,5,57,3,22,4
2017-05-28,4,62,2,22,5
2017-06-04,4,58,4,34,5
2017-06-11,4,78,3,38,3
2017-06-18,4,79,4,23,4
2017-06-25,1,75,4,37,5
2017-07-02,8,59,4,26,5
2017-07-09,7,77,5,31,4
2017-07-16,11,76,2,31,6
2017-07-23,7,63,4,29,5
2017-07-30,10,71,4,33,6
2017-08-06,9,52,4,32,5
2017-08-13,12,60,4,31,1
2017-08-20,7,54,2,36,3
2017-08-27,7,51,2,30,4
2017-09-03,7,69,3,29,3
2017-09-10,10,57,2,26,6
2017-09-17,7,59,1,27,2
2017-09-24,10,65,1,30,9
2017-10-01,8,79,4,36,6
2017-10-08,10,64,2,35,3
2017-10-15,12,62,3,38,4
2017-10-22,12,80,2,40,4
2017-10-29,11,84,2,39,3
2017-11-05,18,84,5,47,3
2017-11-12,21,100,3,46,5
2017-11-19,11,84,3,41,2
2017-11-26,15,82,1,45,7
2017-12-03,13,85,3,43,3
2017-12-10,16,78,2,54,2
2017-12-17,13,61,4,41,4
2017-12-24,11,58,4,34,5
2017-12-31,11,51,1,28,4
