output	dr_1	dr_2	dr_3	dr_4	dr_5	dr_6	dr_7	dr_8	th
1.52700000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.39610000e-02
1.52705000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.38700000e-02
1.52710000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.38150000e-02
1.52715000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.39100000e-02
1.52720000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.72000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.40190000e-02
1.52725000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.41680000e-02
1.52730000e+03	1.73000000e-04	1.73000000e-04	1.72000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.41470000e-02
1.52735000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.41630000e-02
1.52740000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.41350000e-02
1.52745000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.39250000e-02
1.52750000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.39410000e-02
1.52755000e+03	1.73000000e-04	1.72000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.39240000e-02
1.52760000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.41830000e-02
1.52765000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.41530000e-02
1.52770000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.43990000e-02
1.52775000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.44030000e-02
1.52780000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.43560000e-02
1.52785000e+03	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.44230000e-02
1.52790000e+03	1.74000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.76000000e-04	1.75000000e-04	1.75000000e-04	1.44640000e-02
1.52795000e+03	1.74000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.75000000e-04	1.44080000e-02
1.52800000e+03	1.74000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.74000000e-04	1.75000000e-04	1.75000000e-04	1.74000000e-04	1.45570000e-02
1.52805000e+03	1.74000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.73000000e-04	1.76000000e-04	1.75000000e-04	1.75000000e-04	1.47450000e-02
