wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1530.00000000	0.01676332	0.01591533	0.01514768	0.01554936	0.01428675	0.01547920	0.01696094	0.01709376	0.72428005
1530.10000000	0.01754673	0.01645284	0.01567022	0.01618604	0.01473626	0.01600532	0.01772549	0.01787757	0.72538050
1530.20000000	0.01827715	0.01701849	0.01614098	0.01669940	0.01526376	0.01654818	0.01853970	0.01862444	0.70476951
1530.30000000	0.01927893	0.01777690	0.01714075	0.01762670	0.01591793	0.01755584	0.01985535	0.01977849	0.70568445
1530.40000000	0.02022869	0.01862590	0.01781569	0.01842335	0.01645904	0.01831168	0.02102622	0.02090398	0.69773176
1530.50000000	0.02118396	0.01949907	0.01874438	0.01941132	0.01722930	0.01909154	0.02240586	0.02231073	0.69322712
1530.60000000	0.02215829	0.02041885	0.01944860	0.02036640	0.01779307	0.02017969	0.02372047	0.02346681	0.68005384
1530.70000000	0.02377051	0.02157711	0.02071542	0.02166415	0.01886235	0.02134994	0.02593414	0.02571898	0.66450025
1530.80000000	0.02552115	0.02292137	0.02215010	0.02319868	0.01988931	0.02286054	0.02815802	0.02754048	0.63007184
1530.90000000	0.02709260	0.02445237	0.02363269	0.02472847	0.02118558	0.02468843	0.03138911	0.03053233	0.64335505
1531.00000000	0.02877515	0.02622328	0.02532110	0.02658415	0.02225499	0.02652933	0.03478949	0.03329360	0.61100360
1531.10000000	0.03174387	0.02836322	0.02760151	0.02908214	0.02375912	0.02891850	0.03888723	0.03701837	0.59162565
1531.20000000	0.03534288	0.03095166	0.03089198	0.03261435	0.02593587	0.03204222	0.04514202	0.04229054	0.56296725
1531.30000000	0.03877075	0.03411554	0.03440436	0.03618829	0.02817321	0.03546895	0.05270919	0.04766610	0.53531050
1531.40000000	0.04302157	0.03750425	0.03761426	0.03991596	0.03086019	0.03971524	0.06188370	0.05431989	0.48749108
1531.50000000	0.04930707	0.04242212	0.04339966	0.04581824	0.03415216	0.04541728	0.07512068	0.06332221	0.44043308
1531.60000000	0.05759859	0.04834557	0.05007369	0.05302661	0.03751780	0.05191339	0.09230606	0.07190042	0.36577184
1531.70000000	0.06689435	0.05505656	0.05922233	0.06307086	0.04235724	0.06036771	0.11593067	0.08240269	0.28600695
1531.80000000	0.07925406	0.06531691	0.07095655	0.07466094	0.04721909	0.06909372	0.14421813	0.08490135	0.18447474
1531.90000000	0.09742390	0.07591645	0.08528620	0.08671562	0.05242143	0.07911538	0.17411125	0.07344875	0.08835376
1532.00000000	0.12148960	0.09014937	0.10230573	0.10396603	0.05631089	0.08947194	0.18944815	0.04105232	0.02354487
1532.10000000	0.16026296	0.11320615	0.13159551	0.12641149	0.05671387	0.09469006	0.14292070	0.00826908	0.00732827
1532.20000000	0.21489465	0.13726511	0.16561457	0.14006345	0.04988788	0.08181924	0.05627674	0.01277849	0.00737086
1532.30000000	0.30214625	0.16745796	0.19062901	0.12708870	0.03223093	0.04387478	0.01288854	0.01022067	0.00795132
1532.40000000	0.44104644	0.19116870	0.18973540	0.06413625	0.01168061	0.01091178	0.00724397	0.00723496	0.00717585
1532.50000000	0.65501659	0.16394042	0.10273215	0.01232177	0.00722188	0.00720671	0.00718604	0.00717835	0.00713461
1532.60000000	0.87997326	0.06162483	0.01739301	0.00750084	0.00721959	0.00716844	0.00715409	0.00714692	0.00710180
1532.70000000	0.93199301	0.02430948	0.00718577	0.00717784	0.00715180	0.00713136	0.00711772	0.00711280	0.00705665
1532.80000000	0.75483731	0.18043011	0.01389867	0.00995242	0.01010764	0.00744593	0.00718279	0.00718342	0.00788933
1532.90000000	0.52524126	0.28197931	0.04664308	0.02930706	0.03413239	0.01320161	0.00901834	0.00920231	0.02801035
1533.00000000	0.36487013	0.26896691	0.06880167	0.04743163	0.05867977	0.02350141	0.01321533	0.01369934	0.08871998
1533.10000000	0.24691517	0.21345336	0.07349454	0.05581381	0.06866134	0.03255107	0.01747473	0.01842611	0.18214235
1533.20000000	0.18047235	0.16452392	0.06749202	0.05466040	0.06505815	0.03461996	0.01952159	0.02071994	0.25631850
1533.30000000	0.13683095	0.12899284	0.06090556	0.05156934	0.06140674	0.03594934	0.02072303	0.02238749	0.34562560
1533.40000000	0.10740492	0.10256658	0.05389091	0.04661418	0.05404809	0.03407020	0.02090915	0.02254819	0.41730660
1533.50000000	0.08699851	0.08422473	0.04769823	0.04251081	0.04871439	0.03227128	0.02071797	0.02242131	0.46998797
1533.60000000	0.07196969	0.06953482	0.04124003	0.03719464	0.04264192	0.03017567	0.02003137	0.02137139	0.51342437
1533.70000000	0.06082207	0.05857897	0.03702246	0.03381369	0.03755941	0.02742597	0.01912150	0.02038478	0.54104967
1533.80000000	0.05213464	0.05061954	0.03230954	0.02990053	0.03279790	0.02499175	0.01807334	0.01911028	0.56173808
1533.90000000	0.04545768	0.04388002	0.02999059	0.02795247	0.03033355	0.02370955	0.01734593	0.01857137	0.59592208
1534.00000000	0.04009966	0.03892601	0.02706163	0.02535382	0.02785923	0.02229391	0.01665452	0.01787783	0.61804767
